heure,niveau,tache
"2023-06-26 11:50:37,447",ERROR,N/A
"2023-06-26 11:50:37,447",ERROR,N/A
"2023-06-26 11:50:37,447",ERROR,N/A
"2023-06-26 11:50:37,447",ERROR,N/A
"2023-06-26 11:50:37,447",ERROR,N/A
"2023-06-26 11:50:37,447",ERROR,N/A
"2023-06-26 11:50:37,447",ERROR, paramiko.ssh_exception.SSHException: Error reading SSH protocol banner
"2023-06-26 11:50:37,447",ERROR,N/A
"2023-06-26 11:50:37,449",ERROR,N/A
"2023-06-26 11:50:37,449",ERROR,N/A
"2023-06-26 11:50:37,449",ERROR,N/A
"2023-06-26 11:50:37,449",ERROR,N/A
"2023-06-26 11:50:37,449",ERROR,N/A
"2023-06-26 11:50:37,449",ERROR,N/A
"2023-06-26 11:50:37,449",ERROR,N/A
"2023-06-26 11:50:37,449",ERROR,N/A
"2023-06-26 11:50:37,449",ERROR,N/A
"2023-06-26 11:50:37,449",ERROR,N/A
"2023-06-26 11:50:37,449",ERROR,N/A
"2023-06-26 11:50:37,449",ERROR,N/A
"2023-06-26 11:50:37,449",ERROR,N/A
"2023-06-26 11:50:37,449",ERROR,N/A
"2023-06-26 11:50:37,449",ERROR,N/A
"2023-06-26 11:50:37,450",ERROR,N/A
"2023-06-26 11:50:37,450",ERROR,N/A
"2023-06-26 11:50:37,450",ERROR,N/A
"2023-06-26 11:50:37,450",ERROR,N/A
"2023-06-26 11:50:37,490",ERROR,N/A
"2023-06-26 11:50:37,490",ERROR,N/A
"2023-06-26 11:50:37,491",ERROR,N/A
"2023-06-26 11:50:37,491",ERROR,N/A
"2023-06-26 11:50:37,491",ERROR,N/A
"2023-06-26 11:50:37,491",ERROR,N/A
"2023-06-26 11:50:37,491",ERROR,N/A
"2023-06-26 11:50:37,491",ERROR,N/A
"2023-06-26 11:50:37,491",ERROR,N/A
"2023-06-26 11:50:37,491",ERROR,N/A
"2023-06-26 11:50:37,491",ERROR,N/A
"2023-06-26 11:50:37,491",ERROR,N/A
"2023-06-26 11:50:37,491",ERROR,N/A
"2023-06-26 11:50:37,491",ERROR,N/A
"2023-06-26 11:50:37,491",ERROR,N/A
"2023-06-26 11:50:37,491",ERROR,N/A
"2023-06-26 11:50:37,492",ERROR,N/A
"2023-06-26 11:50:37,492",ERROR,N/A
"2023-06-26 11:50:37,492",ERROR,N/A
"2023-06-26 11:50:37,522",ERROR,N/A
"2023-06-26 11:50:37,524",ERROR,N/A
"2023-06-26 11:50:37,525",ERROR,N/A
"2023-06-26 11:50:37,525",ERROR,N/A
"2023-06-26 11:50:37,525",ERROR,N/A
"2023-06-26 11:50:37,525",ERROR,N/A
"2023-06-26 11:50:37,525",ERROR,N/A
"2023-06-26 11:50:37,525",ERROR,N/A
"2023-06-26 11:50:37,525",ERROR,N/A
"2023-06-26 11:50:37,525",ERROR,N/A
"2023-06-26 11:50:37,525",ERROR,N/A
"2023-06-26 11:50:37,525",ERROR,N/A
"2023-06-26 11:50:37,525",ERROR,N/A
"2023-06-26 11:50:37,525",ERROR,N/A
"2023-06-26 11:50:37,525",ERROR,N/A
"2023-06-26 11:50:37,525",ERROR,N/A
"2023-06-26 11:50:37,525",ERROR,N/A
"2023-06-26 11:50:37,525",ERROR,N/A
"2023-06-26 11:50:37,525",ERROR,N/A
"2023-06-26 12:05:14,187",ERROR,N/A
"2023-06-26 12:05:14,189",ERROR,N/A
"2023-06-26 12:05:14,189",ERROR,N/A
"2023-06-26 12:05:14,189",ERROR,N/A
"2023-06-26 12:05:14,189",ERROR,N/A
"2023-06-26 12:05:14,189",ERROR,N/A
"2023-06-26 12:05:14,189",ERROR,N/A
"2023-06-26 12:05:14,189",ERROR,N/A
"2023-06-26 12:05:14,189",ERROR,N/A
"2023-06-26 12:05:14,190",ERROR,N/A
"2023-06-26 12:05:14,190",ERROR,N/A
"2023-06-26 12:05:14,190",ERROR,N/A
"2023-06-26 12:05:14,190",ERROR,N/A
"2023-06-26 12:05:14,190",ERROR,N/A
"2023-06-26 12:05:14,190",ERROR,N/A
"2023-06-26 12:05:14,190",ERROR,N/A
"2023-06-26 12:05:14,190",ERROR,N/A
"2023-06-26 12:05:14,190",ERROR,N/A
"2023-06-26 12:05:14,190",ERROR,N/A
"2023-06-26 12:34:14,496",ERROR,N/A
"2023-06-26 12:34:14,496",ERROR,N/A
"2023-06-26 12:34:14,496",ERROR,N/A
"2023-06-26 12:34:14,496",ERROR,N/A
"2023-06-26 12:34:14,496",ERROR,N/A
"2023-06-26 12:34:14,497",ERROR,N/A
"2023-06-26 12:34:14,497",ERROR,N/A
"2023-06-26 12:34:14,497",ERROR,N/A
"2023-06-26 12:34:14,497",ERROR,N/A
"2023-06-26 12:34:14,497",ERROR,N/A
"2023-06-26 12:34:14,497",ERROR,N/A
"2023-06-26 12:34:14,497",ERROR,N/A
"2023-06-26 12:34:14,497",ERROR,N/A
"2023-06-26 12:34:14,497",ERROR,N/A
"2023-06-26 12:34:14,497",ERROR,N/A
"2023-06-26 12:34:14,497",ERROR,N/A
"2023-06-26 12:34:14,498",ERROR,N/A
"2023-06-26 12:34:14,498",ERROR,N/A
"2023-06-26 12:34:14,498",ERROR,N/A
"2023-06-26 13:14:04,286",ERROR,N/A
"2023-06-26 13:14:04,289",ERROR,N/A
"2023-06-26 13:14:04,289",ERROR,N/A
"2023-06-26 13:14:04,289",ERROR,N/A
"2023-06-26 13:14:04,289",ERROR,N/A
